"ลำดับ ","ชื่อบริษัทจัดหางาน (ไทย) ","ชื่อบริษัทจัดหางาน (อังกฤษ) ","ชื่อผู้รับอนุญาต (ไทย) ","ชื่อผู้รับอนุญาต (อังกฤษ) ",เลขที่ใบอนุญาต,เลขที่ใบอนุญาต (อังกฤษ),"ที่อยู่ (ไทย) ","ที่อยู่ (อังกฤษ) ","โทรศัพท์ ","แฟ็กซ์ ","อีเมล/เว็บไซต์ ","หมายเหตุ "
1,มาลินโด จำกัด,"MALINDO RECRUITING AGENCY CO.,LTD.",นางโสภา ซาปัน,Mrs. Sopa Sapun,ต.8/2527,Tor. 8/2527,110 ซ.กิตติพานิช ถ.จันทร์สะพาน 3 แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,"110 Soi Kittipanit, Chansapan 3 Road, Thungwatdon Sub-district, Sathon District, Bangkok",02-676-9216 (6สาย),02-676-0446,malindo@malindothai.com,-
2,ฟาเอซ (ประเทศไทย) จำกัด,"FA-EZ MANPOWER (THAILAND) CO.,LTD.",นายสุรพล เมืองทราย,Mr.Surapon Muangsai,ต.29/2527,Tor. 29/2527,62/1 ซ.จาริพิบูลย์ ถ.พิบูลย์สงคราม ต.บางเขน อ.เมืองนนทบุรี จ.นนทบุรี 11000,"62/1 Soi Jaripibul, Pibulsongkram Road, Bangkhen Sub-district, Muang Nonthaburi District, Nonthaburi",02-525-1577 / 02-526-4013,-,-,-
3,แซม อินเตอร์เนชั่นแนล เอ็นเตอร์ไพรส์ จำกัด,"SAM INTERNATIONAL ENTERPRISE MANPOWER CO.,LTD.",นางสาวปณุยนชุษดี์ ภูวิศป์ญัญาโชค,Miss Punyanuchdee Phuvitpanyachok,ต.109/2527,Tor. 109/2527,1084 ซ.ยิ้มพัฒนา 1 ถ.สุทธิสารวินิจฉัย แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400,"1084 Soi Yimpattana 1, Suthisarnwinitchai Road, Ratchadaphisek Sub-district, Dindaeng District, Bangkok",02-693-9124-5,02-693-7109,-,-
4,เทคโน-ไทย อินเตอร์เนชั่นแนล จำกัด,"TECHNO-THAI INTERNATIONAL MANPOWER CO.,LTD.",นายกานต์ ศรีเปารยะ,Mr. Garn Sripaurya,ต.110/2527,Tor. 110/2527,38/3-4 ชั้นที่ 1 ซ.ลาดพร้าว 15 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,"38/3-4 Soi Ladprao15, Ladprao Road, Jompol Sub-district, Jatujak District, Bangkok",02-938-6921-27,02-938-6928 -29,garn@technothaimanpower.com,-
5,ไทยเลเบอร์ซัพพลาย จำกัด,"THAI LABOUR SUPPLY CO.,LTD.",นายชาตรี หลายปัญญา,Mr. Chatree Laipunya,ต.241/2527,Tor. 241/2527,"64, 66, 68 ซ.ถนนหมู่บ้านเศรษฐกิจ ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160","64,66,68 Soi Setthakit Village Road Lane, Pechkasem Road, Bangkae Nuae Sub-district, Bangkae District, Bangkok","02-809-1750-4 , 081-8704503",02-421-4944 / 02-809-1760,-,-
6,เจ.เจ.เอส.บางกอกดีวลีอปเม้นท์ จำกัด,"J.J.S.BANGKOK DEVELOPMENT & MANPOWER CO.,LTD.",นางสาวชญาณี มหาตมวดี,Miss Chayanee Mahatamawadee,ต.386/2528,Tor. 386/2528,259/333 ชั้น 2 อ.ยั่งยืนวงศ์ ถ.สุขุมวิท 71 แขวงพระโขนงเหนือ เขตคลองเตย กรุงเทพมหานคร 10110,"259/333 2nd Floor Yangyuenwong Building, Sukhumvit 71 Road, phrakhanongnua Sub-district,","02-3913499, 080-2362426",02-381-1800,warinporn@jjsbkk.com,-
7,วี.อาร์.เอส.แทรเวล คอร์ปอเรชั่น จำกัด,"V.R.S. TRAVEL CORPORATION AND MANPOWER CO.,LTD.",นางสาวปิยรัตน์ เจริญทรัพย์,Miss Piyarat Charoensup,ต.468/2528,Tor. 468/2528,86/1 ซอยรังสิต-นครนายก 26 ตําบลประชาธิปัตย์ อําเภอธัญบุรี จังหวัดปทุมธานี 12130,"86/1 Soi Rangsit-Nakornnayok 26, Prachathipat Sub-district, Thanyaburi District, Pathum Thani Province",02-0886389,-,htpp://www.nadl-manpower.co.th,-
8,วีแอล สยาม ดีเวลลอปเมนท์ จำกัด,"V L SIAM DEVELOPMENT MANPOWER CO.,LTD.",นางสาวพัชราภา การีโรจน์,Miss Phatcharapha Kareeroj,ต.646/2533,Tor. 646/2533,232/19 ซอยลาดพร้าว 93 (โชคชัย 3) ถนนลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพฯ 10310,"232/19 Soi Ladphrao 93(Chokchai3), Ladphrao Road, Klongchaokhunsing Sub-district, Wangthonglang District, Bangkok","02-5421398, 081-3168786",-,-,-
9,เอสโก้ จำกัด,"ESCO EMPLOYMENT SERVICE CO.,LTD.",นางสุรีพร สุขเกษม,Mrs. Sureeporn Sukkasem,ต.654/2533,Tor. 654/2533,25/1 ซอยมะขาม 1 ถ.มิตรพันธ์ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,"25/1 Soi MaKham 1, Mittrapan Road, Pomprab Sub-district, Pomprabsattrupai District, Bangkok","02-222-0489/02-225-7876, 080-4926636",02-224-4135,-,-
10,มาจู-จายา จำกัด,"MAJU-JAYA MANPOWER CO.,LTD.",นายธาดา แดนลินจงเด่น,Mr. Thada Danlinjongden,ต.683/2534,Tor 683/2534,456/73 ม.12 ซอยศูนย์การค้าประตูน้ำ ถ.มิตรภาพ ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,"456/73, Soi Pratunam Shopping Center, Mittraphap Road, Moo 12, Muangkao Sub-district, Muang Khonkaen District, Khonkaen Province","043-472-648, 084-7034222",043-472-636,majujaya@majujayamanpower.com,-
11,กรุงเทพซันฮวดเทรดดิ้ง จำกัด,"SUN FAR TRADING MANPOWER (BANGKOK) CO.,LTD.",นายธนพัฒน์ ศิริสุข,MR.THANAPHAT SIRISOOK,ต.698/2534,Tor. 698/2534,48/63 หมู่ที่ 3 ซอยรามอินทรา 19 ถนนรามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,"48/63, Moo 3, Soi Ramindra 19, Ramindra Road, Anusaowaree Sub-district, Bangkhen District, Bangkok",02-970-7544,02-970-7558,-,-
12,ลิ้งค์โปรอินเตอร์เนชั่นแนล จำกัด,"LINKPRO INTERNATIONAL PLACEMENT CO., LTD.",นายวิชิต ศรีสิทธิเดชารักษ์,Mr. Wichit Srisittidecharak,ต.715/2534,Tor 715/2534,7 ชั้นที่ 1 ซ.นาคนิวาส 57 ถ.นาคนิวาส แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,"7 1stFloor, Soi Nakniwat 57, Nakniwat Road, Ladprao Sub-district,",02-932-9527-8,02-932-9530,-,-
13,พนไพศาล จำกัด,"PANAPAISAL RECRUITMENT CO.,LTD.",นางสุจีน ภูษิตวรกุล,Mrs. Sucheen Pusitvarakul,ต.723/2534,Tor 723/2534,430 หมู่ที่ 5 ต.ห้วยสัก อ.เมืองเชียงราย จ.เชียงราย 57000,"430 Moo 5, Huaisak Sub-district, Muang Chiangrai District, Chiangrai Province,","053-740-281, 081-8902155",-,-,-
14,ที ที เอ็ม จำกัด,"TTM MANPOWER CO.,LTD.",นายวิสุทธิ์ สุทธิภาศิลป์,Mr.Visuth Suthiphasilp,ต.726/2534,Tor 726/2534,7 หมู่บ้านประชานิเวศน์ 2 ซ.ประชาชื่น 9 ถ.ประชาชื่น ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000,"7 Prachaniwes 2 Village, Soi Prachachuen 9, Prachachuen Road, Thatray Sub-district, Muang Nonthaburi District, Nonthaburi Province",02-980-2021-3,"02-980-2025, 02-980-0228",-,-
15,บ๊อสส์ดีไล้ท์ แมนพาวเวอร์ จำกัด,"BOSS DELIGHT MANPOWER CO.,LTD.",นางสาวอรัญญา สกุลโกศล,Miss Aranya Sakulkosol,ต.729/2534,Tor 729/2534,290/201 ซอยลาดพร้าว 84 (สังคมสงเคราะห์ใต้ 1) แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ 10310,"290/201 Soi Ladphro 84 (Sangkomsongkhrotai 1), Wangthonglang Sub-district, Wangthonglang District, Bangkok",085-1000058,-,bossdelight@hotmail.com / www.bossdelight.com,-
16,เค.แอล.พร็อพเพอร์ตี้ จำกัด,"K.L.PROPERTY MANPOWER CO.,LTD.",นางสาววริฐา รัตนารักษ์,Miss Varita Ruttanaruks,ต.735/2534,Tor 735/2534,50/73 ม.5 ถ.แจ้งวัฒนะ ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,"50/75 Chaengwattana Road, Moo 5, Pakkret Sub-district, Pakkret District, Nonthaburi Province",02-583-4571-2 / 02-584-6862,-,www.klmanpower.com,-
17,บิ๊กวัน โอเวอร์ซี จำกัด,"BIG ONE OVERSEA MANPOWER CO.,LTD.",นายวิชัย ประเสริฐสิทธิ์,Mr. Wichai Prahsertsit,ต.757/2535,Tor 757/2535,366/9 ม.1 ซ.บ้านหนองขอนกว้าง ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000,"366/9 Moo 1, Bannongkhonkwang Sub-street, Makkhaeng Sub-district, Muang Udonthani District, Udonthani Province","042-241-357, 091-8688724",042-325-929,-,-
18,ไทยซินแทค แทรเวล เซอร์วิส จำกัด,"THAI SYNTAX TRAVEL SERVICE MANPOWER CO.,LTD.",นางจินตนา อัศวทวีโชคชัย,Mrs. Jintana Assawathaweechokechai,ต.764/2535,Tor 764/2535,เลขที่ 2 ชั้นที่ 1 ซ.ปุณณวิถี 31 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,"2 1st Floor, Soi Punnavithi, Sukhumvit 101 Road, Bangjak Sub-district, Phrakhanong District, Bangkok",02-730-5622-25,02-730-5620,-,-
19,เค.เอส.แมนเพาเวอร์ ซัพพลาย จำกัด,"K.S. MANPOWER SUPPLY CO.,LTD.",นางสุจิตตราภรณ์ ศิริวรรณพร,Mrs. Sujittraporn Siriwonporn,ต.843/2537,Tor 843/2537,3104/1-2 ซ.ลาดพร้าว 130 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,"3104/1-2 Soi Ladprao 130, Ladprao Road, Klongchan Sub-district, Bangkapi District, Bangkok","02-731-2600 (12 สาย), 081-8246122",02-375-7599 / 02-731-2745,skman@ksc.th.com,-
20,วินซ์ เพลสเมนท์ จำกัด,"VINC PLACEMENT CO.,LTD.",นายอวิรุทธ์ วุฒิโชติวรกิจ,Mr.Avirut Vutthichotvarakit,ต.887/2539,Tor 887/2539,163/1 ม.12 ถ.นวลจันทร์ แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,"163/1 Moo.12 Nuanchan Road, Nuanchan Sub-district, Buengkum District, Bangkok","02-9499572, 086-0406909",02-949-9891,www.vincplacement.com,-
21,ไทยเวิร์คเกอร์ เอ็นเทอร์ไพรส์ จำกัด,"THAI WORKER ENTERPRISE RECRUITMENT CO.,LTD.",นายอนุพงษ์ วิเศษจินดาวัฒน์,Mr. Anupong Viseschindavat,ต.911/2541,Tor 911/2541,99/98 ม.7 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10570,"99/98 Mu 7, Bangsaothung Sub-district, Bangsaothung District, Samutprakarn",02-705-5627-9,-,thworker@cscoms.com,-
22,บลิเดอร์ส จำกัด,"BUILDERS OVERSEAS EMPLOYMENT CO.,LTD.",นางสาวศราวดี กุลถวายพร,Miss. Sarawadee Kultawaiporn,ต.915/2541,Tor 915/2541,3104/5 ชั้นที่ 1 ถ.ลาดพร้าว ซ.ลาดพร้าว 130 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,"3104/5 1st Floor, Soi Ladprao 130, Ladprao Road, Klongchan Sub-district, Bangkapi District, Bangkok","02-733-9059, 081-8414383",02-375-7599,info@kamanpower.com,-
23,สเปคทรัม โอเวอร์ซี เอ็นเตอร์ไพรส์ จำกัด,"SPECTRUM OVERSEA ENTERPRISE RECRUITMENT CO.,LTD.",นายสุธี ตุนโย,Mr. Suthee Tunyo,ต.930/2541,Tor 930/2541,41/18 ซ.พหลโยธิน 32 ถ.เสนานิคม 1 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,"41/18, Soi Phaholyothin 32, Ladyao Sub-district, Chatujak District, Bangkok,",02-561-5098 / 081-8014144,02-561-1016,-,-
24,เซ้นท์ เมอริท จำกัด,"SAINT MERIT PLACEMENT CO.,LTD.",นางณิชา เกิดแสงดวง,Mrs. Nicha Koedsaengduang,ต.948/2542,Tor. 948/2542,636/9 ซ.รามคำแหง 39 (เทพลีลา 1) ถ.ประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,"636/9, Soi Ramkhamhaeng 39 (Thepleela 1), Pracha-Uthit Road, Wangthonglang Sub-district,",02-934-7900,02-934-7906-7,-,-
25,คันทรี่ อินเตอร์เนชั่นแนล จำกัด,"COUNTRY INTERNATIONAL PLACEMENT CO.,LTD.",นางสาวอำนวย สอาด,Mrs. Amnuay Saard,ต.959/2542,Tor 959/2542,227-228 ม.12 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,"227-228 Soi Petchkasem 73/2, Nongkangploo Sub-district, Nongkaem District, Bangkok,","02-809-8535-6, 081-3096466",02-809-8534,country@truemail.co.th,-
26,บางกอก วินนิ่ง กรุ๊พ จำกัด,"BANGKOK WINNING GROUP MANPOWER CO.,LTD.",นางลักษณา สิทธิวัง,Mrs. Laksana Sitthiwang,ต.960/2542,Tor 960/2542,116/1 ซ.รามอินทรา 23 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,"116/1 Soi Ramintra 23, Anusaowaree Sub-district, Bangkhen District, Bangkok,",02-970-9341 -50,02-970-9343,-,-
27,ท็อปเทีย จำกัด,"TOP TIER MANPOWER CO.,LTD.",นายสุรชัย หวังวัฒนานุกุล,Mr. Surachai Wangwattananukul,ต.966/2542,Tor 966/2542,"334,336,338 ถ.บรมราชชนนี แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10160","334,336,338 Boromratchonni Road, Bangbamru Sub-district, Bangplad District, Bangkok,",02-4334117-8,-,-,-
28,เอสพี ลีดเดอร์ อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,"SP LEADER INTERNATIONAL GROUP EMPLOYMENT CO.,LTD.",นายพิพัฒน์ นวสมิตวงศ์,Mr.Pipat Nawasamittawong,ต.974/2543,Tor 974/2543,129/195 ชั้น 1-2 ซอยนวมินทร์ 163 หมู่ 11 แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,"129/195 1st-2nd Floor, Nawamin 163 Alley , Mu 11, Nuanchan Sub-district, Buengkum District, Bangkok",02-930-7214-7,02-930-7217,spleader@ji-net.com,-
29,เอส.พี.ที.อินเตอร์แมเนจเม้นท์ จำกัด,"S.P.T.INTERMANAGEMENT MANPOWER CO.,LTD.",นางสาวกนกวรรณ แซ่หลี่,Miss Kanokwan Sae-Li,ต.977/2543,Tor 977/2543,456 ถ.ลาดพร้าว-วังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,"456 Ladprao-Wanghin Road, Ladprao Sub-district, Ladprao District, Bangkok","02-539-8337 / 02-539-8346, 081-6404161",02-539-8302,Chong-2005@hotmail.com,-
30,วี ดรากอน จำกัด,"V.DRAGON RECRUITMENT CO.,LTD.",นายอนุชา อินทะชัย,Mr.Anucha Inthachai,ต.980/2543,Tor 980/2543,1433 ชั้นที่ 1 ซ.ลาดพร้าว 94 (ปัญจมิตร) แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,"1433 1st Floor Soi Ladprao 94(Phanjamit) Plabpla Sub-District, Wangthonglang District,",02-530-9050-3,02-949-0853,info@vdragon.net,-
31,ซี แอล ซี อินเตอร์เนชั่นแนล (1999) จำกัด,"C L C INTERNATIONAL RECRUITMENT (1999) CO.,LTD.",นายจุติเสฏฐ์ ฐิติวณิชกุล,Mr.Chutiseth Thitiwanitkul,ต.984/2543,Tor 984/2543,1/1 ซ. เจริญนคร 53 ถ. เจริญนคร แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,"1/1 Soi Charoennakorn 53, Charoennakorn Road, Banglumphulang Sub-District, Khlongsan District, Bangkok","02-4377-501, 02-4373-515",-,-,-
32,ไทยอัศวเลิศ จำกัด,"THAI ASAWALERT MANPOWER CO.,LTD.",นางสาวรวินท์ธนัย อัศวทวีโชคชัย,Miss Lavinthun Assawathawechokchai,ต.990/2543,Tor 990/2543,ชั้น 2A ซ.ปุณณวิถี 31 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,"2 2nd Floor, Soi Punnavithi 31, Sukhumvit 101 Road, Bangjak Sub-district, Phrakhanong District, Bangkok",02-730-5626,02-730-5620,-,-
33,ที ดับบลิว จำกัด,"T W MANPOWER CO.,LTD.",นายวิชระ สำเร็จตระกูล,Mr. Wachira Samrettrakun,ต.1014/2544,Tor 1014/2544,59/1 ซ.ลาดพร้าว 71 ถ.ลาดพร้าว แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,"59/1, Soi Ladprao 71, Ladprao Road, Saphansong Sub-district, Wangthonglang District, Bangkok,",02-539-7143-7,02-539-2524,-,-
34,เซบา เอ็นเตอร์ไพร์ส จำกัด,"SHEBAH ENTERPRISE PLACEMENT CO.,LTD.",นายปภณวัชร บุญดาวิจิตร,Mrs.Paphonwat Boondavijit,ต. 1020/2544,Tor 1020/2544,20 ซอยนาคนิวาส 21 ถนนนาคนิวาส แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,"20, Soi Nakniwat21, Nakniwat Road, Ladprao Sub-district, Ladprao District, Bangkok,",02-538-6646,-,svlth@yahoo.com,-
35,สยาม เวิร์ค แทรเวล จำกัด,"SIAM WORK TRAVEL PLACEMENT CO.,LTD.",นางสาววิโรชา แซ่ผ่ง,Miss Virocha Saepong,ต.1022/2544,Tor 1022/2544,126/273 ซ.รามอินทรา 40 แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,"126/273 , Soi Ramintra 40, Nuanchan Sub-district, Buengkum District, Bangkok,",02-509-5320-1 ต่อ 112 / 02-509-5376,-,-,-
36,เอ็น.ที.เค บิสซิเนส จำกัด,"N.T.K BUSINESS MANPOWER CO.,LTD.",นายสุทธิโรจน์ นันทิภาคย์วรกุล,Mr. Sutthirot Nanthiphakworakul,ต.1035/2544,Tor 1035/2544,89/27 ถ.ริมคลองประปาฝั่งขวา แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"89/27 Rimkhlongprapa Fang Khwa Road, Bangsue Sub-district, Bangsue District, Bangkok,",02-556-0638-9,02-910-3001,-,-
37,อุดร เอ็น ที ยูเนี่ยน จำกัด,"UDON NT UNION MANPOWER CO.,LTD.",นางนิภาพร ธนภัทโรดม,Mrs. Nipaporn Tanapatrodom,ต.1036/2544,Tor 1036/2544,559/193 ม.2 ซ.บ้านโพธิ์สว่าง ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,"599/193 Moo 2, Soi Banphosawang, Makkhaeng Sub-district, Muang Udonthani District, Udonthani Province,",042-348-832,-,info@udonnt-manpower.com,-
38,ดับเบิลยูแอล เอช บิสซิเนส จำกัด,"WLH BUSINESS MANPOWER CO.,LTD.",นางสาวทัตติการณ์ เมืองทราย,Miss Thattikarn Muangsai,ต.1040/2545,,62/3 ซ.จาริพิบูลย์ ถ.พิบูลสงคราม ต.บางเขน อ.เมืองนนทบุรี จ.นนทบุรี 11000,"62/3, Soi Jaripibul, Pibulsongkram Road, Bangkhen Sub-district, Muang Nonthaburi District, Nonthabur",02-527-7913,-,-,-
39,สล็อท อินเตอร์เนชั่นแนล จำกัด,"SLOT INTERNATIONAL MANPOWER RECRUITMENT CO.,LTD.",นายสุรศักดิ์ แต้ตระกูล,Mr.Surasak Taetragool,ต.1042/2545,Tor 1042/2545,1845/1-4 ถ.พหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,"1845/1-4 Phaholyothin Road, Ladyao Sub-district, Jatujak District, Bangkok,",02-511-0889 / 02-511-4487,02-939-6157,www.slot.co.th,-
40,เอ.เค.แกรนด์ จำกัด,"A. K. GRAND PLACEMENT CO.,LTD.",นางสาวรัชนีกร แก้วพารา,Mr.Ratchaneekorn Kaewphara,ต.1044/2545,Tor 1044/2545,163 ม.12 ถ.นวลจันทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230,"163 Moo.12 Nuanchan Road, Nuanchan Sub-district, Buengkum District, Bangkok",02-949-9572,02-949-9891,info@akgrand.com yongan@akagrand.com,-
41,ที.เอช.กรีน จำกัด,"T.H. GREEN MANPOWER CO., LTD",นางสาวนภารัตน์ เรืองสวัสดิ์,Miss Naparat Rueangsawat,ต.1063/2546,Tor 1063/2546,1441 ชั้น 1 ซ.ลาดพร้าว 94 (ปัญจมิตร) ถ.ลาดพร้าว แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,"1441, Soi Ladprao 94, Ladprao Road, Phlapphla Sub-district, Wangthonglang District, Bangkok,","02-530-7910- 16, 081-9919921",02-530-7918-9,-,-
